식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,유형명,영양성분제공단위량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회분량,1회분량중량/부피,1일섭취횟수,섭취대상,식품중량/부피,품목제조신고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
F103-002020000-0301,슈퍼 그린 멀티비타민 & 미네랄,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1445mg,0,,0.00,0.00,,0.00,,,210,12.00,,,0,800,,2400,1.200,1.400,,100.00,7.00,,,,1,식품의약품안전처,1정,1445mg,1회,,260.10g,24CA00036G3,NATURAL LIFE NUTRITION INC.,(주) 엔라이즈,해당없음,Y,124,캐나다,2,수집,2024-01-18,2025-12-30
F103-002020000-0302,슈퍼 그린 멀티비타민 & 미네랄,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1445mg,0,,0.00,0.00,,0.00,,,210,12.00,,,0,800,,2400,1.200,1.400,,100.00,7.00,,,,1,식품의약품안전처,1정,1445mg,1회,,260.10g,25CA00046G2,NATURAL LIFE NUTRITION INC.,(주) 엔라이즈,해당없음,Y,124,캐나다,2,수집,2025-01-15,2025-12-30
F102-003030000-0002,슈퍼 그린 (엽록소),F,건강기능식품,1,건강기능식품,02,기능성 원료,02003,엽록소 함유 식물,0200003,엽록소 함유 식물,00,해당없음,00,해당없음,,10000mg,26,,1.00,0.00,,7.00,1.00,3.0,,,,,20,,,,,,,64.00,,,,,1,식품의약품안전처,1스쿱,10000mg,1회,,300g,22US01100G5,PREMARK HEALTH SCIENCE,(주) 씨투엘코리아,해당없음,Y,840,미국,2,수집,2022-01-07,2025-12-30
F102-003030000-0003,슈퍼 그린 (엽록소),F,건강기능식품,1,건강기능식품,02,기능성 원료,02003,엽록소 함유 식물,0200003,엽록소 함유 식물,00,해당없음,00,해당없음,,10000mg,26,,2.00,0.00,,6.00,1.00,3.0,56,2.00,,104,,,,,,,,16.00,,,,,1,식품의약품안전처,2스쿱,10000mg,1회,,280g,24US00658G7,PREMARK HEALTH SCIENCE,(주) 씨투엘코리아,해당없음,Y,840,미국,2,수집,2024-03-07,2025-12-30
F103-001010000-0959,슈퍼 rTG 오메가-3 킹,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1204mg,10,,0.00,1.20,,0.00,,,,,,,0,,,,,,,,25.00,,,,1,식품의약품안전처,1캡슐,1204mg,1회,,72g,22CA26635G1,NUTRA BIO CANADA,주식회사 와이즈스타코리아,해당없음,Y,124,캐나다,2,수집,2022-06-29,2025-12-30
F103-002020000-0300,슈퍼 B-컴플렉스,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1236mg,3,,0.20,0.00,,0.60,,,,,,,70,,,,100.000,17.000,,200.00,,,,,1,식품의약품안전처,1정,1236mg,1회,,618g,25CA00193G0,FACTORS GROUP OF NUTRITIONAL COMPANIES INC.,(주)코스트코코리아,해당없음,Y,124,캐나다,2,수집,2025-04-24,2025-12-30
F103-002020000-0299,숫사슴 녹혈 철분 비타민C,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,530mg,0,,0.00,0.00,,0.00,,,,5.00,,,0,,,,,,,35.00,,,,,1,식품의약품안전처,1캡슐,530mg,1회,,31.80g,24NZ00121G2,THE HEALTH LAB LIMITED,(주)메디게이터,해당없음,Y,554,뉴질랜드,2,수집,2024-11-04,2025-12-30
F103-002020000-0298,숫사슴 녹혈 8000 플러스 (800mg x 100정),F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,800mg,0,,0.00,0.00,,0.00,0.00,,,8.00,,,0,,,,,,,200.00,,,,,1,식품의약품안전처,1캡슐,800mg,1회,,80g,24AU00168G5,NATURE’S BIO TECHNOLOGY PTY LTD,주식회사 네이쳐스바이오텍,해당없음,Y,036,호주,2,수집,2024-08-23,2025-12-30
F102-006060000-0006,수프라퀸3,F,건강기능식품,1,건강기능식품,02,기능성 원료,02006,녹차추출물,0200006,녹차추출물,00,해당없음,00,해당없음,,1000mg,4,,0.00,0.00,,1.00,0.00,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,2캡슐,1000mg,1회,,30g,22US01817G4,NEUTRA KING & CO.,스카이 교역,해당없음,Y,840,미국,2,수집,2022-01-11,2025-12-30
F102-050500000-0067,수퍼바이오틱스 프로바이오틱스 30캡슐(9g),F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,300mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,300mg,1회,,9g,25SE00006G1,INPAC AB,오펠라헬스케어코리아 주식회사,해당없음,Y,203,체코,2,수집,2025-06-13,2025-12-30
F102-050500000-0066,수퍼바이오틱스 프로바이오틱스,F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,410mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,410mg,1회,,24.60g,25SE00002G9,INPAC AB,오펠라헬스케어코리아 주식회사,해당없음,Y,124,캐나다,2,수집,2025-03-26,2025-12-30
F102-050500000-0065,수퍼 플로라,F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,216mg,0,,0.00,0.00,,0.00,0.00,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,216mg,1회,,19.44g,23US12056G6,BIO INTERNATIONAL INC.,주식회사 코럴클럽퍼시픽,해당없음,Y,840,미국,2,수집,2023-03-07,2025-12-30
F103-001010000-0958,수퍼 파워 쏘팔메토,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1000mg,10,,0.00,1.00,,0.00,,,,,,,0,,,,,3.000,,,,,,,1,식품의약품안전처,1캡슐,1000mg,1회,,90g,24US02570G0,"PHIL INTER PHARMA USA, INC.",오리진코리아(OriginKorea),해당없음,Y,840,미국,2,수집,2024-11-11,2025-12-30
F102-005050000-0003,수퍼 스피루리나(1020mgX180정),F,건강기능식품,1,건강기능식품,02,기능성 원료,02005,스피루리나,0200005,스피루리나,00,해당없음,00,해당없음,,1020mg,0,,0.00,0.00,,0.00,0.00,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1정,1020mg,1회,,183.60g,22AU48715G0,NATURES BIO TECHNOLOGY PTY LTD,주식회사 네이쳐스바이오텍,해당없음,Y,036,호주,2,수집,2023-02-13,2025-12-30
F103-001010000-0957,수퍼 루테인 앤 오메가-3 800,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1200mg,10,,0.00,1.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,1200mg,1회,,108g,24US02312G0,US PHARMATECH NV INC.,(주) 엔라이즈,해당없음,Y,840,미국,2,수집,2024-10-07,2025-12-30
F101-017170000-0004,수사슴 녹혈 100,F,건강기능식품,1,건강기능식품,01,영양성분,01017,철,0100017,철,00,해당없음,00,해당없음,,1000mg,3,,0.50,0.00,,0.00,,,,2.30,,,10,,,,,,,,,,,,1,식품의약품안전처,2캡슐,1000mg,2회,,65g,23NZ25535G2,UB BIO LTD,위그라운드,해당없음,Y,554,뉴질랜드,2,수집,2023-05-08,2025-12-30
F103-001010000-0956,솔파인 맨즈픽 90캡슐,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,2550mg,4,,0.00,0.40,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,3캡슐,2550mg,1회,,76.50g,22US18558G5,"BIO-NUTRACEUTICALS, INC.",풀과나무,해당없음,Y,840,미국,2,수집,2022-05-10,2025-12-30
F101-027270000-0047,솔가 웨이투고 단백질 (SKU 12548249),F,건강기능식품,1,건강기능식품,01,영양성분,01027,단백질,0100027,단백질,00,해당없음,00,해당없음,,29000mg,120,,20.00,3.00,,3.00,2.00,1.0,,,,,90,,,,,,,,,50.00,1.00,,1,식품의약품안전처,1스쿱,29000mg,1회,,377g,24US01312G5,"NELLSON NUTRACEUTICAL, LLC",네슬레코리아유한책임회사,해당없음,Y,840,미국,2,수집,2024-05-27,2025-12-30
